Date,Open,High,Low,Close,Adj Close,Volume
2016-05-26,61.000000,62.169998,60.900002,61.900002,61.900002,6537100
2016-05-27,61.990002,63.200001,61.900002,62.709999,62.709999,5750600
2016-05-31,62.709999,63.490002,62.639999,62.930000,62.930000,7147900
2016-06-01,62.930000,63.169998,62.630001,62.830002,62.830002,5284400
2016-06-02,62.869999,65.150002,62.830002,65.089996,65.089996,11628000
2016-06-03,64.760002,65.370003,63.750000,65.000000,65.000000,10621600
2016-06-06,62.130001,62.990002,61.869999,62.820000,62.820000,16403400
2016-06-07,62.590000,63.590000,62.299999,63.099998,63.099998,10980100
2016-06-08,62.209999,62.299999,61.369999,61.730000,61.730000,13173000
2016-06-09,61.500000,62.169998,60.520000,60.750000,60.750000,11503700
2016-06-10,59.990002,61.009998,59.720001,61.000000,61.000000,11052300
2016-06-13,60.459999,61.389999,59.849998,59.930000,59.930000,11673600
2016-06-14,59.459999,60.380001,59.160000,59.900002,59.900002,11560200
2016-06-15,60.290001,61.270000,60.009998,60.400002,60.400002,7739300
2016-06-16,59.930000,60.939999,59.910000,60.900002,60.900002,7011200
2016-06-17,60.880001,60.970001,59.570000,60.009998,60.009998,12574700
2016-06-20,60.639999,61.180000,60.060001,60.110001,60.110001,7076500
2016-06-21,60.200001,60.400002,59.750000,59.980000,59.980000,6366500
2016-06-22,60.000000,61.180000,59.919998,60.389999,60.389999,6718600
2016-06-23,60.860001,61.320000,60.619999,61.310001,61.310001,5328200
2016-06-24,59.259998,60.599998,59.180000,59.860001,59.860001,9878500
2016-06-27,59.380001,59.680000,58.330002,58.680000,58.680000,7945500
2016-06-28,59.279999,60.130001,59.150002,59.990002,59.990002,9897600
2016-06-29,60.580002,62.029999,60.230000,61.810001,61.810001,9308000
2016-06-30,61.790001,62.020000,61.139999,61.910000,61.910000,7920600
2016-07-01,61.980000,63.220001,61.830002,62.709999,62.709999,6533700
2016-07-05,62.500000,62.709999,61.770000,61.919998,61.919998,6293600
2016-07-06,61.840000,63.759998,61.799999,63.369999,63.369999,9202200
2016-07-07,63.599998,63.750000,63.209999,63.430000,63.430000,7081900
2016-07-08,63.480000,64.480003,62.740002,64.160004,64.160004,7921700
2016-07-11,64.250000,64.989998,64.070000,64.349998,64.349998,9641500
2016-07-12,64.669998,65.809998,64.320000,65.500000,65.500000,11870500
2016-07-13,64.809998,65.040001,64.250000,64.769997,64.769997,7684200
2016-07-14,63.700001,64.139999,62.939999,63.619999,63.619999,12090100
2016-07-15,63.820000,64.169998,63.130001,63.320000,63.320000,8827500
2016-07-18,63.230000,63.770000,63.180000,63.560001,63.560001,6384800
2016-07-19,63.410000,63.970001,63.090000,63.320000,63.320000,5794500
2016-07-20,63.570000,63.900002,63.330002,63.410000,63.410000,7502800
2016-07-21,63.230000,64.000000,63.169998,63.889999,63.889999,6145500
2016-07-22,64.000000,64.089996,63.580002,63.810001,63.810001,4972900
2016-07-25,63.910000,64.500000,63.709999,64.320000,64.320000,7241200
2016-07-26,64.410004,64.730003,63.959999,64.449997,64.449997,4885200
2016-07-27,64.419998,65.110001,64.320000,64.900002,64.900002,6220400
2016-07-28,64.790001,65.059998,63.930000,64.720001,64.720001,6556100
2016-07-29,65.269997,66.400002,65.150002,66.230003,66.230003,10525000
2016-08-01,66.230003,67.080002,66.230003,66.940002,66.940002,7599000
2016-08-02,66.930000,67.059998,66.050003,66.779999,66.779999,8763200
2016-08-03,66.809998,67.000000,66.220001,66.570000,66.570000,6355100
2016-08-04,66.580002,66.980003,66.080002,66.099998,66.099998,4901900
2016-08-05,66.150002,66.599998,66.120003,66.540001,66.540001,5045600
2016-08-08,66.379997,66.669998,65.750000,66.339996,66.339996,5309300
2016-08-09,66.339996,67.250000,66.250000,66.760002,66.760002,5717300
2016-08-10,66.699997,66.959999,66.190002,66.430000,66.430000,4506100
2016-08-11,66.860001,67.110001,66.699997,66.949997,66.949997,4246600
2016-08-12,66.860001,67.389999,66.550003,67.190002,67.190002,5215400
2016-08-15,67.470001,68.120003,67.320000,67.389999,67.389999,5215400
2016-08-16,67.129997,67.610001,66.500000,66.739998,66.739998,7147600
2016-08-17,66.690002,67.349998,66.349998,66.830002,66.830002,7945400
